batch	sid1	sid2	ng1	ng2	ng	pcc	spc
batch3	batch3_F1	HY61	8308	17874	8116	0.5793435889420806	0.5107478011427259
batch3	batch3_F2	HY62	8524	17476	8305	0.5674079409821161	0.48962487873478516
batch3	batch3_F3	HY63	7839	18005	7680	0.5542551093241265	0.485809372572027
batch3	batch3_F4	HY64	7998	17719	7791	0.5931842191379153	0.520699752317862
batch3	batch3_F5	HY65	7755	17886	7588	0.6005281913349966	0.5337354081337409
batch3	batch3_F6	HY66	8406	17658	8213	0.5909796278612778	0.5161297289197824
batch3	batch3_F7	HY67	8793	18025	8611	0.573443786930475	0.5048750691871217
batch3	batch3_F8	HY68	8612	17733	8412	0.5696213424994084	0.4982565574824246
batch3	batch3_F9	HY69	8300	17816	8087	0.5693471518543362	0.5063689693558736
batch3	batch3_F10	HY70	8000	17852	7843	0.5802370815971676	0.5055873515200168
batch3	batch3_F11	HY71	6959	17943	6823	0.5362987518604448	0.468952529061744
batch3	batch3_F12	HY72	6576	17718	6448	0.5506379447473255	0.4755634777740555
batch3	batch3_G1	HY73	7603	17731	7450	0.5332873566114485	0.4650714775316736
batch3	batch3_G2	HY74	7525	17701	7333	0.5028411701104226	0.435222852655633
batch3	batch3_G3	HY75	8386	17691	8152	0.558325935174424	0.48993422017730837
batch3	batch3_G4	HY76	8452	18173	8261	0.5527070790816021	0.4829153651473494
batch3	batch3_G5	HY77	8258	17838	8067	0.5772261513637218	0.5006000269031207
batch3	batch3_G6	HY78	8376	17780	8151	0.5676521219945767	0.49599432329460247
batch3	batch3_G7	HY79	8299	17991	8135	0.541314450898427	0.48048552374059394
batch3	batch3_G8	HY80	8341	17623	8139	0.5690698831663915	0.49809006208484286
batch3	batch3_G9	HY81	7783	17854	7605	0.5418445907323574	0.4760528732270498
batch3	batch3_G10	HY82	8308	17848	8123	0.5733231499871417	0.508665459874765
batch3	batch3_G11	HY83	8360	17802	8182	0.5755723844960587	0.5053341847607625
batch3	batch3_G12	HY84	8855	17641	8651	0.5987383213546623	0.5248635385178115
batch3	batch3_H1	HY85	8303	17571	8092	0.5185528518912396	0.4549776263131762
batch3	batch3_H2	HY86	8027	17716	7849	0.5366895025312484	0.46437490679381477
batch3	batch3_H3	HY87	7348	17835	7168	0.5397430911471993	0.4702036059033635
batch3	batch3_H4	HY88	7850	18105	7702	0.5451307347585143	0.47907733911783523
batch3	batch3_H5	HY89	7950	17829	7775	0.5574265086845401	0.4863602902479012
batch3	batch3_H6	HY90	8335	17751	8113	0.570852374245315	0.505048994339146
batch3	batch3_H8	HY92	7343	17514	7115	0.520024432491686	0.4646116528993432
batch3	batch3_H10	HY94	7690	17662	7497	0.5667920450998234	0.5093868029953447
batch3	batch3_H11	HY95	7100	17582	6926	0.5437519571185218	0.47551678616889853
batch3	batch3_H12	HY96	7419	17388	7215	0.5575132689985494	0.4922967699188611
